train_number,train_name,origin,destination,seat_class,weather,current_delay_minutes,distance_km,scheduled_halts,hour_of_day,is_rush_hour,will_be_delayed
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,AC_B,clear,0,480,11,3,0,0
704,Mohanagar Godhuli,Chattogram,Dhaka (Kamalapur),SHOVAN,clear,0,320,9,19,1,0
707,Tista Express,Dhaka (Kamalapur),Jamalpur,SHULOV,cloudy,0,240,10,0,0,1
791,Banalata Express,Dhaka (Kamalapur),Rajshahi,SNIGDHA,clear,0,343,3,3,0,0
739,Upaban Express,Dhaka (Kamalapur),Sylhet,AC_B,cloudy,0,319,10,17,1,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),SHOVAN,clear,0,343,9,9,1,0
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,0,320,8,21,0,0
707,Tista Express,Dhaka (Kamalapur),Jamalpur,AC_B,cloudy,0,240,10,14,0,0
793,Panchagarh Express,Dhaka (Kamalapur),Panchagarh,SHULOV,cloudy,12,480,11,10,0,1
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,SHULOV,clear,23,460,13,14,0,1
727,Rupsha Express,Khulna,Chilahati,SHOVAN,cloudy,10,450,16,11,0,0
795,Benapole Express,Dhaka (Kamalapur),Benapole,S_CHAIR,clear,1,420,7,21,0,1
759,Padma Express,Dhaka (Kamalapur),Rajshahi,SHOVAN,heavy_rain,19,343,9,0,0,1
706,Ekota Express,Panchagarh,Dhaka (Kamalapur),SNIGDHA,light_rain,0,480,14,14,0,0
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),F_CHAIR,heavy_rain,0,135,8,20,1,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,AC_S,clear,80,465,12,0,0,1
722,Mohanagar Express,Chattogram,Dhaka (Kamalapur),SNIGDHA,light_rain,0,320,8,18,1,1
764,Chitra Express,Khulna,Dhaka (Kamalapur),AC_B,heavy_rain,9,405,13,17,1,1
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,S_CHAIR,heavy_rain,0,465,12,21,0,1
705,Ekota Express,Dhaka (Kamalapur),Panchagarh,S_CHAIR,clear,0,480,14,17,1,1
703,Mohanagar Provati,Dhaka (Kamalapur),Chattogram,SHULOV,cloudy,0,320,9,10,0,0
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,S_CHAIR,clear,0,240,12,15,0,0
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,SHULOV,clear,24,320,8,1,0,0
721,Mohanagar Express,Dhaka (Kamalapur),Chattogram,AC_B,clear,0,320,8,17,1,0
740,Upaban Express,Sylhet,Dhaka (Kamalapur),S_CHAIR,clear,25,319,10,17,1,0
706,Ekota Express,Panchagarh,Dhaka (Kamalapur),AC_B,heavy_rain,0,480,14,6,0,0
802,Chattala Express,Dhaka (Kamalapur),Chattogram,S_CHAIR,clear,19,320,12,14,0,0
750,Egarosindhur Godhuli,Kishoreganj,Dhaka (Kamalapur),SHOVAN,cloudy,0,135,8,1,0,0
727,Rupsha Express,Khulna,Chilahati,F_CHAIR,clear,26,450,16,16,0,0
704,Mohanagar Godhuli,Chattogram,Dhaka (Kamalapur),AC_S,clear,0,320,9,18,1,0
797,Kurigram Express,Dhaka (Kamalapur),Kurigram,F_BERTH,clear,0,500,15,8,1,0
710,Parabat Express,Sylhet,Dhaka (Kamalapur),SNIGDHA,clear,51,319,11,2,0,1
765,Nilsagar Express,Dhaka (Kamalapur),Chilahati,AC_B,clear,0,460,13,11,0,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),SNIGDHA,clear,70,343,9,20,1,1
757,Drutojan Express,Dhaka (Kamalapur),Panchagarh,SNIGDHA,heavy_rain,0,480,13,3,0,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,SHOVAN,clear,6,319,13,8,1,1
788,Sonar Bangla Express,Chattogram,Dhaka (Kamalapur),AC_B,cloudy,0,320,4,4,0,0
727,Rupsha Express,Khulna,Chilahati,S_CHAIR,cloudy,0,450,16,22,0,0
754,Silkcity Express,Rajshahi,Dhaka (Kamalapur),SHOVAN,cloudy,0,343,9,1,0,0
710,Parabat Express,Sylhet,Dhaka (Kamalapur),SHULOV,clear,9,319,11,7,1,0
715,Kapotaksha Express,Khulna,Rajshahi,F_SEAT,light_rain,78,280,14,13,0,1
715,Kapotaksha Express,Khulna,Rajshahi,F_SEAT,clear,0,280,14,15,0,0
726,Sundarban Express,Khulna,Dhaka (Kamalapur),SNIGDHA,clear,4,405,11,12,0,0
731,Barendra Express,Rajshahi,Chilahati,F_CHAIR,clear,74,320,13,17,1,1
739,Upaban Express,Dhaka (Kamalapur),Sylhet,AC_S,cloudy,5,319,10,11,0,0
771,Rangpur Express,Dhaka (Kamalapur),Rangpur,SHOVAN,clear,0,465,12,13,0,0
706,Ekota Express,Panchagarh,Dhaka (Kamalapur),SHULOV,cloudy,0,480,14,21,0,0
743,Brahmaputra Express,Dhaka (Kamalapur),Jamalpur,AC_B,cloudy,5,240,12,10,0,0
741,Turna Nishitha,Dhaka (Kamalapur),Chattogram,AC_S,clear,7,320,8,12,0,1
717,Joyantika Express,Dhaka (Kamalapur),Sylhet,AC_S,clear,0,319,13,14,0,0
763,Chitra Express,Dhaka (Kamalapur),Khulna,SHULOV,clear,2,405,13,19,1,0
